Name,Link,Subcategory
Wikipedia:FAQ/Categorization,https://en.wikipedia.org/wiki/Wikipedia:FAQ/Categorization#Why_might_a_category_list_not_be_up_to_date?,Concepts in physics
Category:Concepts in physics,https://en.wikipedia.org/w/index.php?title=Category:Concepts_in_physics&pagefrom=Potentiometric+surface#mw-pages,Concepts in physics
4D vector,https://en.wikipedia.org/wiki/4D_vector,Concepts in physics
Active and passive transformation,https://en.wikipedia.org/wiki/Active_and_passive_transformation,Concepts in physics
Ansatz,https://en.wikipedia.org/wiki/Ansatz,Concepts in physics
Araki–Sucher correction,https://en.wikipedia.org/wiki/Araki%E2%80%93Sucher_correction,Concepts in physics
Arrow of time,https://en.wikipedia.org/wiki/Arrow_of_time,Concepts in physics
Asymptotic safety in quantum gravity,https://en.wikipedia.org/wiki/Asymptotic_safety_in_quantum_gravity,Concepts in physics
Bell's theorem,https://en.wikipedia.org/wiki/Bell%27s_theorem,Concepts in physics
Boltzmann's entropy formula,https://en.wikipedia.org/wiki/Boltzmann%27s_entropy_formula,Concepts in physics
Born reciprocity,https://en.wikipedia.org/wiki/Born_reciprocity,Concepts in physics
Bose–Einstein statistics,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_statistics,Concepts in physics
Brownian ratchet,https://en.wikipedia.org/wiki/Brownian_ratchet,Concepts in physics
Canonical transformation,https://en.wikipedia.org/wiki/Canonical_transformation,Concepts in physics
Capacitance,https://en.wikipedia.org/wiki/Capacitance,Concepts in physics
Capstan equation,https://en.wikipedia.org/wiki/Capstan_equation,Concepts in physics
Cauchy momentum equation,https://en.wikipedia.org/wiki/Cauchy_momentum_equation,Concepts in physics
Causality,https://en.wikipedia.org/wiki/Causality,Concepts in physics
Causality (physics),https://en.wikipedia.org/wiki/Causality_(physics),Concepts in physics
Cherenkov radiation,https://en.wikipedia.org/wiki/Cherenkov_radiation,Concepts in physics
Classical fluid,https://en.wikipedia.org/wiki/Classical_fluid,Concepts in physics
Classical limit,https://en.wikipedia.org/wiki/Classical_limit,Concepts in physics
Classical mechanics,https://en.wikipedia.org/wiki/Classical_mechanics,Concepts in physics
Clausius–Mossotti relation,https://en.wikipedia.org/wiki/Clausius%E2%80%93Mossotti_relation,Concepts in physics
Clockwise,https://en.wikipedia.org/wiki/Clockwise,Concepts in physics
Closed system,https://en.wikipedia.org/wiki/Closed_system,Concepts in physics
Coherence (physics),https://en.wikipedia.org/wiki/Coherence_(physics),Concepts in physics
Coherent turbulent structure,https://en.wikipedia.org/wiki/Coherent_turbulent_structure,Concepts in physics
Commutative property,https://en.wikipedia.org/wiki/Commutative_property,Concepts in physics
Composite Higgs models,https://en.wikipedia.org/wiki/Composite_Higgs_models,Concepts in physics
Time crystal,https://en.wikipedia.org/wiki/Time_crystal,Concepts in physics
Conservation law,https://en.wikipedia.org/wiki/Conservation_law,Concepts in physics
Contracted Bianchi identities,https://en.wikipedia.org/wiki/Contracted_Bianchi_identities,Concepts in physics
Convection,https://en.wikipedia.org/wiki/Convection,Concepts in physics
Cooper pair,https://en.wikipedia.org/wiki/Cooper_pair,Concepts in physics
Copenhagen interpretation,https://en.wikipedia.org/wiki/Copenhagen_interpretation,Concepts in physics
Coulomb gap,https://en.wikipedia.org/wiki/Coulomb_gap,Concepts in physics
Covariance group,https://en.wikipedia.org/wiki/Covariance_group,Concepts in physics
Covariance principle,https://en.wikipedia.org/wiki/Covariance_principle,Concepts in physics
Covariant formulation of classical electromagnetism,https://en.wikipedia.org/wiki/Covariant_formulation_of_classical_electromagnetism,Concepts in physics
Cross section (physics),https://en.wikipedia.org/wiki/Cross_section_(physics),Concepts in physics
Current density,https://en.wikipedia.org/wiki/Current_density,Concepts in physics
Darwin Lagrangian,https://en.wikipedia.org/wiki/Darwin_Lagrangian,Concepts in physics
Degenerate semiconductor,https://en.wikipedia.org/wiki/Degenerate_semiconductor,Concepts in physics
Degrees of freedom (physics and chemistry),https://en.wikipedia.org/wiki/Degrees_of_freedom_(physics_and_chemistry),Concepts in physics
Density of states,https://en.wikipedia.org/wiki/Density_of_states,Concepts in physics
Diffraction,https://en.wikipedia.org/wiki/Diffraction,Concepts in physics
Diffraction formalism,https://en.wikipedia.org/wiki/Diffraction_formalism,Concepts in physics
Dimension,https://en.wikipedia.org/wiki/Dimension,Concepts in physics
Discrete spectrum,https://en.wikipedia.org/wiki/Discrete_spectrum,Concepts in physics
Dispersion relation,https://en.wikipedia.org/wiki/Dispersion_relation,Concepts in physics
Einstein's thought experiments,https://en.wikipedia.org/wiki/Einstein%27s_thought_experiments,Concepts in physics
Elastance,https://en.wikipedia.org/wiki/Elastance,Concepts in physics
Electromagnet,https://en.wikipedia.org/wiki/Electromagnet,Concepts in physics
Electromagnetic induction,https://en.wikipedia.org/wiki/Electromagnetic_induction,Concepts in physics
Electron equivalent,https://en.wikipedia.org/wiki/Electron_equivalent,Concepts in physics
Electronic entropy,https://en.wikipedia.org/wiki/Electronic_entropy,Concepts in physics
Electrostatics,https://en.wikipedia.org/wiki/Electrostatics,Concepts in physics
Elementary particle,https://en.wikipedia.org/wiki/Elementary_particle,Concepts in physics
Emission spectrum,https://en.wikipedia.org/wiki/Emission_spectrum,Concepts in physics
Empty lattice approximation,https://en.wikipedia.org/wiki/Empty_lattice_approximation,Concepts in physics
Enthalpy,https://en.wikipedia.org/wiki/Enthalpy,Concepts in physics
Entropy,https://en.wikipedia.org/wiki/Entropy,Concepts in physics
Configuration entropy,https://en.wikipedia.org/wiki/Configuration_entropy,Concepts in physics
EPR paradox,https://en.wikipedia.org/wiki/EPR_paradox,Concepts in physics
Equation of state,https://en.wikipedia.org/wiki/Equation_of_state,Concepts in physics
Equipartition theorem,https://en.wikipedia.org/wiki/Equipartition_theorem,Concepts in physics
Equivalence principle,https://en.wikipedia.org/wiki/Equivalence_principle,Concepts in physics
Equivalence principle (geometric),https://en.wikipedia.org/wiki/Equivalence_principle_(geometric),Concepts in physics
Ergodic hypothesis,https://en.wikipedia.org/wiki/Ergodic_hypothesis,Concepts in physics
Euclidean vector,https://en.wikipedia.org/wiki/Euclidean_vector,Concepts in physics
Euler equations (fluid dynamics),https://en.wikipedia.org/wiki/Euler_equations_(fluid_dynamics),Concepts in physics
Euler's laws of motion,https://en.wikipedia.org/wiki/Euler%27s_laws_of_motion,Concepts in physics
Ewald–Oseen extinction theorem,https://en.wikipedia.org/wiki/Ewald%E2%80%93Oseen_extinction_theorem,Concepts in physics
Fermi gas,https://en.wikipedia.org/wiki/Fermi_gas,Concepts in physics
Fermi's golden rule,https://en.wikipedia.org/wiki/Fermi%27s_golden_rule,Concepts in physics
Fermion,https://en.wikipedia.org/wiki/Fermion,Concepts in physics
Feynman diagram,https://en.wikipedia.org/wiki/Feynman_diagram,Concepts in physics
Field (physics),https://en.wikipedia.org/wiki/Field_(physics),Concepts in physics
Field effect (semiconductor),https://en.wikipedia.org/wiki/Field_effect_(semiconductor),Concepts in physics
Fine-structure constant,https://en.wikipedia.org/wiki/Fine-structure_constant,Concepts in physics
First law of thermodynamics,https://en.wikipedia.org/wiki/First_law_of_thermodynamics,Concepts in physics
First observation of gravitational waves,https://en.wikipedia.org/wiki/First_observation_of_gravitational_waves,Concepts in physics
Flavour (particle physics),https://en.wikipedia.org/wiki/Flavour_(particle_physics),Concepts in physics
Flotation of flexible objects,https://en.wikipedia.org/wiki/Flotation_of_flexible_objects,Concepts in physics
Four-vector,https://en.wikipedia.org/wiki/Four-vector,Concepts in physics
Fractional quantum mechanics,https://en.wikipedia.org/wiki/Fractional_quantum_mechanics,Concepts in physics
Fractional Schrödinger equation,https://en.wikipedia.org/wiki/Fractional_Schr%C3%B6dinger_equation,Concepts in physics
Frame-dragging,https://en.wikipedia.org/wiki/Frame-dragging,Concepts in physics
Free electron model,https://en.wikipedia.org/wiki/Free_electron_model,Concepts in physics
Free neutron decay,https://en.wikipedia.org/wiki/Free_neutron_decay,Concepts in physics
Free particle,https://en.wikipedia.org/wiki/Free_particle,Concepts in physics
Frustrated triangular lattice,https://en.wikipedia.org/wiki/Frustrated_triangular_lattice,Concepts in physics
Introduction to gauge theory,https://en.wikipedia.org/wiki/Introduction_to_gauge_theory,Concepts in physics
Generalized Lagrangian mean,https://en.wikipedia.org/wiki/Generalized_Lagrangian_mean,Concepts in physics
Gibbs free energy,https://en.wikipedia.org/wiki/Gibbs_free_energy,Concepts in physics
Ginzburg criterion,https://en.wikipedia.org/wiki/Ginzburg_criterion,Concepts in physics
Global mode,https://en.wikipedia.org/wiki/Global_mode,Concepts in physics
Gravitational singularity,https://en.wikipedia.org/wiki/Gravitational_singularity,Concepts in physics
Green's function,https://en.wikipedia.org/wiki/Green%27s_function,Concepts in physics
Green's function number,https://en.wikipedia.org/wiki/Green%27s_function_number,Concepts in physics
Group velocity dispersion,https://en.wikipedia.org/wiki/Group_velocity_dispersion,Concepts in physics
H-theorem,https://en.wikipedia.org/wiki/H-theorem,Concepts in physics
Heat,https://en.wikipedia.org/wiki/Heat,Concepts in physics
Heat engine,https://en.wikipedia.org/wiki/Heat_engine,Concepts in physics
Heisenberg cut,https://en.wikipedia.org/wiki/Heisenberg_cut,Concepts in physics
Helmholtz free energy,https://en.wikipedia.org/wiki/Helmholtz_free_energy,Concepts in physics
Entropic uncertainty,https://en.wikipedia.org/wiki/Entropic_uncertainty,Concepts in physics
Homogeneity (physics),https://en.wikipedia.org/wiki/Homogeneity_(physics),Concepts in physics
Hydrodynamic quantum analogs,https://en.wikipedia.org/wiki/Hydrodynamic_quantum_analogs,Concepts in physics
Hydrogen atom,https://en.wikipedia.org/wiki/Hydrogen_atom,Concepts in physics
Impulse (physics),https://en.wikipedia.org/wiki/Impulse_(physics),Concepts in physics
Instability,https://en.wikipedia.org/wiki/Instability,Concepts in physics
Integral length scale,https://en.wikipedia.org/wiki/Integral_length_scale,Concepts in physics
Internal energy,https://en.wikipedia.org/wiki/Internal_energy,Concepts in physics
Intrinsic parity,https://en.wikipedia.org/wiki/Intrinsic_parity,Concepts in physics
Invariant (physics),https://en.wikipedia.org/wiki/Invariant_(physics),Concepts in physics
Invariant mass,https://en.wikipedia.org/wiki/Invariant_mass,Concepts in physics
Ionic conductivity (solid state),https://en.wikipedia.org/wiki/Ionic_conductivity_(solid_state),Concepts in physics
Kinetic scheme,https://en.wikipedia.org/wiki/Kinetic_scheme,Concepts in physics
Kinetic theory of gases,https://en.wikipedia.org/wiki/Kinetic_theory_of_gases,Concepts in physics
Komar superpotential,https://en.wikipedia.org/wiki/Komar_superpotential,Concepts in physics
Koopman–von Neumann classical mechanics,https://en.wikipedia.org/wiki/Koopman%E2%80%93von_Neumann_classical_mechanics,Concepts in physics
Lagrangian mechanics,https://en.wikipedia.org/wiki/Lagrangian_mechanics,Concepts in physics
Lamb shift,https://en.wikipedia.org/wiki/Lamb_shift,Concepts in physics
Legendre transformation,https://en.wikipedia.org/wiki/Legendre_transformation,Concepts in physics
Leggett inequality,https://en.wikipedia.org/wiki/Leggett_inequality,Concepts in physics
Length measurement,https://en.wikipedia.org/wiki/Length_measurement,Concepts in physics
Lepton,https://en.wikipedia.org/wiki/Lepton,Concepts in physics
Linear response function,https://en.wikipedia.org/wiki/Linear_response_function,Concepts in physics
Linear system,https://en.wikipedia.org/wiki/Linear_system,Concepts in physics
Linearity,https://en.wikipedia.org/wiki/Linearity,Concepts in physics
Long-slit spectroscopy,https://en.wikipedia.org/wiki/Long-slit_spectroscopy,Concepts in physics
Lorentz force,https://en.wikipedia.org/wiki/Lorentz_force,Concepts in physics
Lorentz scalar,https://en.wikipedia.org/wiki/Lorentz_scalar,Concepts in physics
Lorenz gauge condition,https://en.wikipedia.org/wiki/Lorenz_gauge_condition,Concepts in physics
Macroscopic scale,https://en.wikipedia.org/wiki/Macroscopic_scale,Concepts in physics
Magnetic braking,https://en.wikipedia.org/wiki/Magnetic_braking,Concepts in physics
Majorana fermion,https://en.wikipedia.org/wiki/Majorana_fermion,Concepts in physics
Mass versus weight,https://en.wikipedia.org/wiki/Mass_versus_weight,Concepts in physics
Mass-to-charge ratio,https://en.wikipedia.org/wiki/Mass-to-charge_ratio,Concepts in physics
Master equation,https://en.wikipedia.org/wiki/Master_equation,Concepts in physics
Introduction to the mathematics of general relativity,https://en.wikipedia.org/wiki/Introduction_to_the_mathematics_of_general_relativity,Concepts in physics
Maxwell–Boltzmann statistics,https://en.wikipedia.org/wiki/Maxwell%E2%80%93Boltzmann_statistics,Concepts in physics
Maxwell's demon,https://en.wikipedia.org/wiki/Maxwell%27s_demon,Concepts in physics
List of textbooks in electromagnetism,https://en.wikipedia.org/wiki/List_of_textbooks_in_electromagnetism,Concepts in physics
Matrix representation of Maxwell's equations,https://en.wikipedia.org/wiki/Matrix_representation_of_Maxwell%27s_equations,Concepts in physics
Maxwell's equations in curved spacetime,https://en.wikipedia.org/wiki/Maxwell%27s_equations_in_curved_spacetime,Concepts in physics
Mean field theory,https://en.wikipedia.org/wiki/Mean_field_theory,Concepts in physics
Mean inter-particle distance,https://en.wikipedia.org/wiki/Mean_inter-particle_distance,Concepts in physics
Measure (physics),https://en.wikipedia.org/wiki/Measure_(physics),Concepts in physics
Mechanics,https://en.wikipedia.org/wiki/Mechanics,Concepts in physics
Melting point,https://en.wikipedia.org/wiki/Melting_point,Concepts in physics
Meter water equivalent,https://en.wikipedia.org/wiki/Meter_water_equivalent,Concepts in physics
Metric tensor,https://en.wikipedia.org/wiki/Metric_tensor,Concepts in physics
Microscopic scale,https://en.wikipedia.org/wiki/Microscopic_scale,Concepts in physics
Minkowski space,https://en.wikipedia.org/wiki/Minkowski_space,Concepts in physics
Motion (physics),https://en.wikipedia.org/wiki/Motion_(physics),Concepts in physics
Navier–Stokes equations,https://en.wikipedia.org/wiki/Navier%E2%80%93Stokes_equations,Concepts in physics
Negative frequency,https://en.wikipedia.org/wiki/Negative_frequency,Concepts in physics
Negative refraction,https://en.wikipedia.org/wiki/Negative_refraction,Concepts in physics
